product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/abros-angel-3-running-shoes-women/p/itm5c023a06cb787?pid=SHOGY94QFZZHDAQY&lid=LSTSHOGY94QFZZHDAQYGKF09X&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_23&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOGY94QFZZHDAQY.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,ANGEL-3 Running Shoes For Women,Abros ,726,0.57,4.1,734
https://www.flipkart.com/asian-04-white-sports-gym-jogging-walking-training-stylish-running-shoes-women/p/itm508025c63da8f?pid=SHOGGGAUKHRQTFZG&lid=LSTSHOGGGAUKHRQTFZGAAVXYM&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_24&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOGGGAUKHRQTFZG.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,"04 White Sports,Gym,Jogging,Walking,Training,Stylish Running Shoes For Women",asian ,824,0.45,4.1,22129
https://www.flipkart.com/fabbmate-casual-sneakers-women/p/itmb9bf1951ccc6e?pid=SHOHCMWZUYR4BRZF&lid=LSTSHOHCMWZUYR4BRZFJG7O6I&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_26&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOHCMWZUYR4BRZF.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,Fabbmate Casual Sneakers For Women,Fabbmate ,453,0.54,4,14689
https://www.flipkart.com/avant-aura-running-shoes-superior-traction-anti-skid-lightweight-multi-directional-shoes-women/p/itm850f1825253da?pid=SHOH3ZC3MZSYWN29&lid=LSTSHOH3ZC3MZSYWN29QBJIYW&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_27&otracker=search&otracker1=search&fm=Search&iid=en_cYuicL4I37zQH7DqQESxs_zA2bU_dBeepupu35tDkaSn0BwUaNJRLy2Rlm8UK-5CnDtZr3kiHSZ8Lg_aMRIJmGJMZAJirnjvZRqZ0WhE16A%3D&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,"Aura Running Shoes-Superior Traction,Anti Skid, Lightweight, Multi directional Running Shoes For Women",AVANT ,859,0.35,4.4,190
https://www.flipkart.com/abros-ginny-running-shoes-women/p/itm572b7cad7e70e?pid=SHOHF9J9MHWEJUU3&lid=LSTSHOHF9J9MHWEJUU3DCAZZQ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_29&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOHF9J9MHWEJUU3.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,GINNY Running Shoes For Women,Abros ,960,0.59,4.2,43
https://www.flipkart.com/trenz-lace-ups-running-shoes-cultured-round-toe-shape-women/p/itm7e35d65806f78?pid=SHOH946B3VYZNDXU&lid=LSTSHOH946B3VYZNDXUMG59PS&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_31&otracker=search&otracker1=search&fm=Search&iid=en_cYuicL4I37zQH7DqQESxs_zA2bU_dBeepupu35tDkaQh23k_yBs8EyjnAa1ED2HxNGZxhmW7hJeTBq3F_S45UA%3D%3D&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,Lace-Ups Running Shoes |Cultured Round-Toe Shape Running Shoes For Women,Trenz ,795,0.55,,
https://www.flipkart.com/off-limits-stussy-w-memory-tech-running-shoes-women/p/itm97464a131d7cd?pid=SHOGW8YDQ9YJUHKG&lid=LSTSHOGW8YDQ9YJUHKGMPNYSZ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_32&otracker=search&otracker1=search&fm=Search&iid=en_cYuicL4I37zQH7DqQESxs_zA2bU_dBeepupu35tDkaTI2c_YSFjoHx7oe1NgGcjEMpXLtqWB3xkRoPNYZBI0HA%3D%3D&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,STUSSY W Running Shoes For Women,OFF LIMITS ,1899,0.48,3.6,61
https://www.flipkart.com/fabbmate-trendy-memory-foam-walking-running-shoes-women/p/itmc5814f4e2a802?pid=SHOGH3Y26FSPPRQT&lid=LSTSHOGH3Y26FSPPRQTDN10J5&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=default_BestsellerId_osp%2Fiko%2Fd20&srno=s_1_33&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOGH3Y26FSPPRQT.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,Fabbmate Trendy Memory Foam Walking Running Shoes For Women,Fabbmate ,358,0.55,4,131293
https://www.flipkart.com/doctor-extra-soft-memory-foam-walking-gym-training-running-flexible-comfortable-shoes-d-1004-walking-women/p/itm95c0b4fdbca26?pid=SHOGYKPYT5QWZQNE&lid=LSTSHOGYKPYT5QWZQNE7LTQPJ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_34&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOGYKPYT5QWZQNE.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,"Memory Foam Walking,Gym,Training,Running,Flexible,Comfortable Shoes D-1004 Walking Shoes For Women",DOCTOR EXTRA SOFT ,899,0.55,4,1245
https://www.flipkart.com/campus-camp-callie-walking-shoes-women/p/itm2137744590be0?pid=SHOGG47UKCRZYVAQ&lid=LSTSHOGG47UKCRZYVAQWJ37LL&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_35&otracker=search&otracker1=search&fm=Search&iid=7f6e72ba-7d35-4491-b913-235280094930.SHOGG47UKCRZYVAQ.SEARCH&ppt=sp&ppn=sp&ssid=0j8azcvw400000001762758262190&qH=32e27b1148959538,CAMP CALLIE Walking Shoes For Women,CAMPUS ,799,0.2,4.2,5426
