product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/asian-running-shoes-women/p/itm757bfa6a08281?pid=SHOH77PEH6TSQYZT&lid=LSTSHOH77PEH6TSQYZTCMGJCF&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_71&otracker=search&otracker1=search&fm=Search&iid=en_NH-cUEKc3obCo9qV7wETkPYkkGvTsmtggYWflk1VXUK_x2ubWA3W9lvXzc4o_1yhdd6i4GG29HO9e7OuC88vB33Gaq_wzx4HJysDmGalzMk%3D&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,Running Shoes For Women,asian ,791,0.39,4.2,183
https://www.flipkart.com/off-limits-stussy-w-memory-tech-running-shoes-women/p/itm97464a131d7cd?pid=SHOGW8YDQ9YJUHKG&lid=LSTSHOGW8YDQ9YJUHKGMPNYSZ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_72&otracker=search&otracker1=search&fm=Search&iid=en_NH-cUEKc3obCo9qV7wETkPYkkGvTsmtggYWflk1VXUIzId7WP2F5LvmQ_DYARR4c666muWQOv79Ve8KmICAxOw%3D%3D&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,STUSSY W Running Shoes For Women,OFF LIMITS ,1899,0.48,3.6,61
https://www.flipkart.com/asian-sneakers-gym-sports-casual-walking-stylish-destiny-04-running-shoes-women/p/itmef7e26aefaace?pid=SHOH5ZA7NZJSAZRC&lid=LSTSHOH5ZA7NZJSAZRCED5ORT&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_73&otracker=search&otracker1=search&fm=Search&iid=ad11a4e9-f48d-4430-af53-ea12065dacec.SHOH5ZA7NZJSAZRC.SEARCH&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,"Sneakers,Gym,Sports,Casual,Walking,Stylish Destiny-04 Running Shoes For Women",asian ,832,0.38,4,10240
https://www.flipkart.com/doctor-extra-soft-walking-shoes-women/p/itm205db90ee5c17?pid=SHOGYKPFKGKJZ8VT&lid=LSTSHOGYKPFKGKJZ8VTDSVFFX&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_76&otracker=search&otracker1=search&fm=Search&iid=ad11a4e9-f48d-4430-af53-ea12065dacec.SHOGYKPFKGKJZ8VT.SEARCH&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,Walking Shoes For Women,DOCTOR EXTRA SOFT ,899,0.55,4,1245
https://www.flipkart.com/asian-cute-sports-shoes-women-running-girls-stylish-latest-design-new-fashion-casual-sneakers-ladies-lace-up-lightweight-peach-jogging-walking-gym-party/p/itmb152f91cc5259?pid=SHOFMY6JBUM6QFUG&lid=LSTSHOFMY6JBUM6QFUGJFVCRR&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_77&otracker=search&otracker1=search&fm=Search&iid=en_NH-cUEKc3obCo9qV7wETkPYkkGvTsmtggYWflk1VXUKOPpmW0uHscJQc2SFVWldMf1h7WROZb9_1gCXFbaffQWaRs4JL222ZRV-dN99QnxU%3D&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,"Cute sports shoes for women | Running shoes for girls stylish latest design new fashion | casual sneakers for ladies | Lace up Lightweight peach shoes for jogging, walking, gym & party Running Shoes For Women",asian ,669,0.16,4.2,98386
https://www.flipkart.com/avant-ariel-outdoor-sports-shoes-enhanced-grip-tpr-outsole-running-women/p/itm7bcf6a0013598?pid=SHOGWMGYYNH8UVEF&lid=LSTSHOGWMGYYNH8UVEFOBXRFQ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_78&otracker=search&otracker1=search&fm=Search&iid=en_NH-cUEKc3obCo9qV7wETkPYkkGvTsmtggYWflk1VXUIvnyVFvqPpp9NAHC8m4M6YZ4fzmQW2OVoshCQVx1EXP68iqbiwhGf4dwbXVx7ZSks%3D&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,Ariel Outdoor Sports Shoes with Enhanced Grip TPR Outsole Running Shoes For Women,AVANT ,825,0.41,4.2,197
https://www.flipkart.com/aqualite-skr-131-casual-lifestyle-women-shoe-without-lace-slip-on-dailyware-walking-shoes/p/itmf5e974c0e50da?pid=SHOH3R6TWVZ8M7QN&lid=LSTSHOH3R6TWVZ8M7QNGSPUJF&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_2_80&otracker=search&otracker1=search&fm=Search&iid=ad11a4e9-f48d-4430-af53-ea12065dacec.SHOH3R6TWVZ8M7QN.SEARCH&ppt=sp&ppn=sp&ssid=wb3k94z0e80000001762758264258&qH=32e27b1148959538,"Aqualite SKR-131 Casual Lifestyle Women Shoe without lace, slip-on dailyware Walking Shoes For Women",Aqualite ,584,0.1,4,3502
https://www.flipkart.com/fabbmate-sneakers-women/p/itm2e9833e6cdcd8?pid=SHOHEMCYV7KMMZ6Z&lid=LSTSHOHEMCYV7KMMZ6ZLOLVOC&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_3_81&otracker=search&otracker1=search&fm=Search&iid=en_uPG2Y_TYmlfmJIke4xD_oROOrVuM9CDpRLelP3X_p2aqyHC-pM9jnbpNvYc3muoZFZ1UhW7ZVl3C_pXqF8mCzg%3D%3D&ppt=sp&ppn=sp&ssid=sh2pgjqm0w0000001762758266280&qH=32e27b1148959538,Sneakers For Women,Fabbmate ,466,0.53,3.8,3088
https://www.flipkart.com/avant-reva-running-shoe-breathable-mesh-upper-cushioned-comfort-high-traction-adoptive-shoes-women/p/itm0663889880e2d?pid=SHOHC5GK7NDGXEZQ&lid=LSTSHOHC5GK7NDGXEZQHFNG2X&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_3_82&otracker=search&otracker1=search&fm=Search&iid=en_uPG2Y_TYmlfmJIke4xD_oROOrVuM9CDpRLelP3X_p2bG8NjRr1sHDjdpyowbXGK3ndLFJLsI0SrktMJyUj_pE_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=sh2pgjqm0w0000001762758266280&qH=32e27b1148959538,Reva Running Shoe Breathable Mesh Upper Cushioned Comfort High Traction Adoptive Running Shoes For Women,AVANT ,859,0.33,4,116
https://www.flipkart.com/asian-08-grey-gym-sports-walking-training-stylish-running-shoes-women/p/itmf811704d4fdbb?pid=SHOGN8ZBKAWME9YW&lid=LSTSHOGN8ZBKAWME9YWJS02JK&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_3_84&otracker=search&otracker1=search&fm=Search&iid=43cadccd-f216-4c5a-8e99-688c8d051752.SHOGN8ZBKAWME9YW.SEARCH&ppt=sp&ppn=sp&ssid=sh2pgjqm0w0000001762758266280&qH=32e27b1148959538,"-08 Grey Gym,Sports,Walking,Training,Stylish Running Shoes For Women",asian ,759,0.49,4.1,22129
